sentence,intent
What are coronavirus symptoms,symptoms
symptoms,symptoms
Am I infected,symptoms
How can I tell if I have coronavirus,symptoms
how do I know if I have coronavirus,symptoms
how do I know if I am infected,symptoms
Symptoms for coronavirus,symptoms
Coronavirus symptoms,symptoms
Do I have coronavirus,symptoms
what symptoms does coronavirus have,symptoms
I think I might have coronavirus,symptoms
what symptoms should I be concerned about,symptoms
spread,spread
how do you get coronavirus,spread
is coronavirus contagious,spread
how can coronavirus be spread,spread
how does coronavirus spread,spread
how can you get coronavirus,spread
how is coronavirus transmitted,spread
how long is the incubation period for coronavirus,spread
is coronavirus spread by contact,spread
how contagious is coronavirus,spread
can I get coronavirus,risk
who can get coronavirus,risk
risk,risk
am I at risk for coronavirus,risk
should I be worried about coronavirus,risk
who is at risk for coronavirus,risk
is it possible for me to get coronavirus,risk
could I have coronavirus,risk
might I have coronavirus,risk
what precautions should I take,precautions
how can I protect myself from coronavirus,precautions
should I wear a mask,precautions
how do I prevent coronavirus,precautions
how to prevent coronavirus,precautions
prevention,precautions
treatment,treatment
how is coronavirus treated,treatment
what if I get coronavirus,treatment
what is the cure for coronavirus,treatment
is there a cure for coronavirus,treatment
what is the coronavirus treatment,treatment
what happens if you get coronavirus,treatment
what is the treatment for coronavirus,treatment
can you be cured of coronavirus,treatment
what is the coronavirus cure,treatment
what happens if I get coronavirus,treatment
What are covid-19 symptoms,symptoms
How can I tell if I have covid-19,symptoms
how do I know if I have covid-19,symptoms
Symptoms for covid-19,symptoms
covid-19 symptoms,symptoms
Do I have covid-19,symptoms
what symptoms does covid-19 have,symptoms
I think I might have covid-19,symptoms
how do you get covid-19,spread
is covid-19 contagious,spread
how can covid-19 be spread,spread
how does covid-19 spread,spread
how can you get covid-19,spread
how is covid-19 transmitted,spread
how long is the incubation period for covid-19,spread
is covid-19 spread by contact,spread
how contagious is covid-19,spread
can I get covid-19,risk
who can get covid-19,risk
am I at risk for covid-19,risk
should I be worried about covid-19,risk
who is at risk for covid-19,risk
is it possible for me to get covid-19,risk
could I have covid-19,risk
might I have covid-19,risk
how can I protect myself from covid-19,precautions
how do I prevent covid-19,precautions
how to prevent covid-19,precautions
how is covid-19 treated,treatment
what if I get covid-19,treatment
what is the cure for covid-19,treatment
is there a cure for covid-19,treatment
what is the covid-19 treatment,treatment
what happens if you get covid-19,treatment
what is the treatment for covid-19,treatment
can you be cured of covid-19,treatment
what is the covid-19 cure,treatment
what happens if I get covid-19,treatment
What are corona symptoms,symptoms
How can I tell if I have corona,symptoms
how do I know if I have corona,symptoms
Symptoms for corona,symptoms
corona symptoms,symptoms
Do I have corona,symptoms
what symptoms does corona have,symptoms
I think I might have corona,symptoms
how do you get corona,spread
is corona contagious,spread
how can corona be spread,spread
how does corona spread,spread
how can you get corona,spread
how is corona transmitted,spread
how long is the incubation period for corona,spread
is corona spread by contact,spread
how contagious is corona,spread
can I get corona,risk
who can get corona,risk
am I at risk for corona,risk
should I be worried about corona,risk
who is at risk for corona,risk
is it possible for me to get corona,risk
could I have corona,risk
might I have corona,risk
how can I protect myself from corona,precautions
how do I prevent corona,precautions
how to prevent corona,precautions
how is corona treated,treatment
what if I get corona,treatment
what is the cure for corona,treatment
is there a cure for corona,treatment
what is the corona treatment,treatment
what happens if you get corona,treatment
what is the treatment for corona,treatment
can you be cured of corona,treatment
what is the corona cure,treatment
what happens if I get corona,treatment
